preferredLabel,altLabels,skillType
conserve water resource,"water resources managing
conserve water resources
water resources conserving
conserving water resources
water resource managing
conserve water resource
conserving water resource
manage water resource
manage water resources
water resource conserving
managing water resources
managing water resource
water resource",skill/competence
make diplomatic decisions,"implement diplomatic decisions
undertake diplomatic decision making
perform diplomatic decisions
perform diplomatic decision making
implement diplomatic decision making
carry out diplomatic decisions
carry out diplomatic decision making
undertake diplomatic decisions
make diplomatic decisions
diplomatic decisions
diplomatic decision making",skill/competence
handle tasks independently,"handling a task independently
handle a task independently
solve tasks independently
handling tasks independently
operate tasks independently
administer tasks independently
deal with tasks independently
handle tasks independently
conduct tasks independently
tasks independently
task independently",skill/competence
prepare religious services,"celebrate religious worship
prepare religious services
undertake religious services
arrange religious worship
provide religious services
celebrate religious services
arrange religious services
undertake religious worship
provide religious worship
religious worship",skill/competence
design user interface,"design user interface
user interface",skill/competence
maintain professional boundaries in social work,,skill/competence
drive concrete piles,"using concrete pile driver
driving concrete piles
use concrete pile driver
insert concrete pile
drive concrete piles
concrete pile driving
driving of  concrete piles
inserting concrete piles
concrete pile driver",skill/competence
solve operational transport problems,"resolve operational transport problems
solve operational transport problems
solve operational transport issues
address operational transport problems
resolve operational transport issues
address operational transport issues
create solutions to operational transport problems
develop solutions to operational transport problems
remedy problems in operational transport
find solutions to operational transport problems
remedy problems in operational transportation
solutions to operational transport problems",skill/competence
preset costumes,"arrange costumes
preset costumes
present the costumes
put costume outfits in place
pre-setting of costumes",skill/competence
develop product design,"launch product design
developing product designs
establish product design
develop product design
develop a product design
develop product designs
evaluate product design
produce product design
product design
product designs",skill/competence
conduct public presentations,"give presentations to the public
public presentations conducting
conduct public presentations
give public presentations
giving presentations to the public
conduct presentations to the public
public presentations giving
giving public presentations
conducting presentations to the public
conducting public presentations
public presentations
presentations to the public",skill/competence
inform customers about body modifications,"notify customers about body modifications
informing customers about body modifications
tell customers about body modifications
advise customers on body modifications
inform customer about body modifications
inform customers about body modifications
inform customers about body modification",skill/competence
provide genetic counselling,"offer genetic counseling
offer genetic counselling
diagnostic and supportive genetic counseling
provide genetic counseling
genetic counselling
genetic counseling",skill/competence
install low voltage wiring,"install low voltage lines
install low voltage cables
install low voltage wiring
install ethernet cables",skill/competence
monitor the use of kitchen equipment,"monitoring the use of kitchen equipment
monitor the use of kitchen equipment
keep track of use of kitchen equipment
supervise use of kitchen tools and equipment
monitor use of kitchen equipment
use of kitchen equipment
use of kitchen tools and equipment",skill/competence
principles of landscape construction,"techniques used in landscape construction
principles of landscape construction
principles used in landscape construction
techniques in landscape construction
landscape construction principles
techniques of landscape construction
landscape construction techniques
principles in landscape construction",knowledge
manage production changeovers,"ensure successful changeovers to meet production schedule
implement effective changeovers to meet production schedule
manage production changeovers
manage changeovers in production
oversee production changeovers
plan and implement production changeovers and related activities
oversee changeovers in production
supervise production changeovers
ensure execution of efficient production changeovers
production changeovers
successful changeovers to meet production schedule
effective changeovers to meet production schedule
changeovers in production
execution of efficient production changeovers",skill/competence
differentiate types of packages,"distinguish different types of parcels
make a distinction between different types of parcels
distinguish different types of packages
discern different types of packages
differentiate different types of packages
discern different types of parcels
make a distinction between different types of packages
make a distinction between different kinds of packages
distinguish different kinds of packages
discern types of packages
differentiate kinds of packages
differentiate types of parcels
differentiate types of packages
distinction between different types of parcels
distinction between different types of packages
distinction between different kinds of packages",skill/competence
implement data warehousing techniques,"implement data warehousing techniques
data warehousing techniques",skill/competence
determine characteristics of mineral deposits,"characteristics determination for mineral deposits
determination of characteristics of mineral deposits
assess mineral deposits
determining the characteristics of mineral deposits
assessing mineral deposits
determining characteristics of mineral deposits
determine the characteristics of mineral deposits
assessment of mineral deposits
mineral deposit assessment
determine characteristics of mineral deposits
mineral deposits",skill/competence
prepare flambeed dishes,"prepare flambeed dishes
cook flambeed dishes
prepare flambe dishes
prepare dishes flambe
present flamed dishes
flambeed dishes
flambe dishes
dishes flambe",skill/competence
use barcode scanning equipment,"using barcode scanning equipment
operate barcode scanning equipment
use of a barcode scanning equipment
barcode scanning equipment use
apply barcode scanning equipment
handle barcode scanning equipment
use barcode scanning equipment
adopt barcode scanning equipment
barcode scanning equipment",skill/competence
promote religious activities,"advocate religious activities
list religious worship
boost religious activities
arrange religious activities
promote religious activities
list religious activities
arrange religious worship
boost religious worship
advocate religious worship",skill/competence
prepare market research reports,"write up market research reports
prepare market research report
create market research reports
prepare reports from market research
preparing market research reports
prepare market research reports
get market research reports ready
market research reports
market research report
reports from market research",skill/competence
manage members,"supervise members regulate members
oversee representative
regulate representative
manage members
oversee members
maintain members
supervise representative
maintain representatives
members regulate members",skill/competence
repair pipelines,"pipeline maintaining
repair pipelines
maintaining pipelines
pipelines maintaining
repairing pipelines
pipeline repairing
pipelines repairing",skill/competence
handle sensitive products,"handling sensitive products
handling a sensitive product
administer sensitive products
handle sensitive products
operate sensitive products
handle a sensitive product
conduct sensitive products
deal with sensitive products
sensitive products
sensitive product",skill/competence
provide career counselling,"provide career counseling
make career counselling available
supply career counselling
discuss career possibilities with beneficiaries
discuss career possibilities with students
providing career counselling
offer career counselling
provides career counselling
career counselling
career counseling
career counselling available",skill/competence
keep an open mind,"take on new ideas and experiences
demonstrate freedom from prejudice
show acceptance of others
being open minded",skill/competence
place drywall,"place drywall
installation of drywall
installing drywall
install drywall
placement of drywall
placing of drywall
drywall placement
placing drywall
drywall installation",skill/competence
comply with legislation in social services,"comply with social services legislation
comply with social-services legislation
comply with legislation in social services
fulfill legislation in social services
work according to the legislation in social services",skill/competence
translate language concepts,"translating language concepts
translate language precepts
translate language notions
translate language concept
translate language concepts
translate language ideas",skill/competence
tend chain making machine,"oversee chain production machinery
watch chain production machinery
monitor chain production machinery
guard chain production machinery
tend chain making machine
guard chain making machine
monitor chain making machine
watch chain making machine
oversee chain making machine
chain production machinery
chain making machine",skill/competence
present during live broadcasts,"presenting during live broadcasts
host live broadcasts
present during live broadcasts
go on air during live broadcasts
present during live broadcast",skill/competence
grade coffee beans,"grade of coffee bean
assess coffee beans
grade coffee beans
select coffee beans
grade of coffee beans
sort coffee beans
classify coffee beans
coffee beans",skill/competence
unseen translation,"unseen translation
unseen translating",knowledge
pallets loading,"pallet loading
stacking pallets
loading pallets
pallets loading
pallets storing
pallets filling
loading of pallets
pallets stacking",skill/competence
develop film,"develop and print film
develop film
prepare tools to develop film
developing a film
develop a film
and print film
tools to develop film",skill/competence
lay underlayment,"lay vinyl underlay
underlayment laying
lay carpet pad
laying of underlayment
lay carpet underlay
lay underlayment
lay underlay
laying underlayment",skill/competence
manage ICT semantic integration,"manage ICT semantic integration
ict semantic integration",skill/competence
build helping relationship with social service users,"develop a collaborative relationship with social service users
build cooperative relationship with social service users
build helping relationship with social service users
build professional relationship with social service users
build helping relationship with service user
build helping relationships with service users
build a helping relationship with service users
establish and maintain cooperative relationships in social work
helping relationship with social service users
collaborative relationship with social service users
cooperative relationship with social service users
professional relationship with social service users
helping relationship with service user
helping relationships with service users
helping relationship with service users",skill/competence
install newel posts,"fit newel posts
fitting newel posts
installation of newel posts
installing newel posts
newel post fitting
newel post installation
install newel posts
fitting of newel posts",skill/competence
provide stabilisation care in emergency,"deliver stabilisation care in an emergency
provide stabilisation care in an emergency
provide stabilization care in emergency
deliver stabilisation care in emergency
provide first aid in emergency
stabilisation care in emergency
stabilisation care in an emergency
stabilization care in emergency
first aid in emergency",skill/competence
ensure vehicle preparation for pick-up,"enable vehicle preparation for pick-up
secure vehicle preparation for pick-up
ensure vehicle preparation for pick-up
assure vehicle preparation for pick-up
ensuring vehicle preparation for pick-up
provide vehicle preparation for pick-up
ensure vehicle is prepared for pick-up
ensure vehicle preparation for a pick-up
vehicle preparation for pick-up
vehicle is prepared for pick-up
vehicle preparation for a pick-up",skill/competence
make reservations,"make bookings
make reservation
reserve
making reservations
make reservations",skill/competence
use agricultural information systems and databases,"use agricultural information systems and databases
operating agricultural databases
use agricultural databases
using agricultural information systems
operate agricultural information systems and databases
use agricultural information systems
using agricultural databases
using agricultural information systems and databases
operating agricultural information systems and databases
operate agricultural databases
operate agricultural information systems
operating agricultural information systems
agricultural information systems and databases
agricultural databases",skill/competence
focus lighting equipment,"direct lanterns' light
direct light beam
direct lighting equipment
lighting focussing
focus lanterns
focus lighting equipment
focus lighting
lanterns' light
light beam
lighting equipment",skill/competence
operate sumps,"using of industrial sumps
operation of sumps
operating of industrial sumps
using industrial sumps
operating industrial sumps
use industrial sumps
sump use
operate industrial sumps
using of sumps
using sumps
operating of sumps
use of industrial sumps
industrial sump operation
sump operation
operate sumps
use of sumps
industrial sump use
operation of industrial sumps
use sumps
operating sumps
industrial sumps",skill/competence
crude oil distillation processes,"use of CDU
distillation processes for crude oil
process of oil distillation
distilling crude oil
crude oil distillation
distillation process for crude oil
use CDU to distil oil
CDU use
crude oil distillation process
use of crude oil distillation unit
crude oil distillation processes
oil distillation
cdu to distil oil
crude oil distillation unit",knowledge
use doctor blade,"employ doctor blade
use doctor blade
utilise doctor blade
make use of doctor blade
use doctor blades
using doctor blade
doctor blade
use of doctor blade
doctor blades",skill/competence
manufacturing of sports equipment,"production of sports equipment
sports equipment manufacturing
assembling sports equipment
building of sports equipment
manufacture of sports equipment
construction of sports equipment
manufacturing of sports equipment
sports equipment",knowledge
write captions,"write caption
writing captions
create captions
write captions
compose captions",skill/competence
tackle issues that block academic progress,"solve issues blocking academic progress
provide counselling for issues blocking academic progress
tackle issues which block academic progress
tackle issues that block academic progress
tackle an issue that blocks academic progress
provide counseling for issues blocking academic progress
tackle an issue which blocks academic progress
counselling for issues blocking academic progress
counseling for issues blocking academic progress",skill/competence
negotiate buying conditions,"discuss buying conditions
negotiating a buying condition
negotiating buying conditions
negotiate buying condition
negotiate buying conditions
agree buying conditions
determine buying conditions
improve buying conditions",skill/competence
manufacturing of steam generators,"manufacture of auxiliary heating plant
manufacturing of steam generators
production of steam generators
production of auxiliary heating plant
auxiliary heating plant manufacturing
fabrication of auxiliary heating plant
steam generators manufacturing
manufacture of steam generators
fabrication of steam generators",knowledge
landscape analysis,"methods of environmental analysis
techniques in landscape analysis
science of environmental analysis
mathematics of environmental analysis
methods of landscape analysis
techniques in environmental analysis
science of landscape analysis
landscape analysis
mathematics of landscape analysis",knowledge
use personal organization software,"pmProjectTeam
Empire Suite Software
use digital calendar
ChronForce
use personal organization software
TimeDoctor
use software for personal organization
Mavenlink
utilise personal organization software
able to use using personal organization software
hiTask
FreshBooks
using personal organisation software
TaskTome
WorkStraight
Rainlendar Lite
use software for personal organisation
Osmo Calendar
make use of personal organization software
use digital to-do list
Yahoo! Calendar
Outlook Time
AceProject
Trello
Clarizen
Zoho Calendar
Any.DO
OmniFocus
Mozilla Sunbird
iPlan
VueMinder Calendar Lite
Zoho Projects
TickTick
Toggl
time@work
Art Plus ePix Wallpaper Calendar
Todoist
use digital time tracking
Im Time Calendar
apply personal organization software
Interactive Calendar
Harvest
Wunderlist
TrackerSuite.Net
Emplotime
ToodleDo
personal organization software
digital calendar
software for personal organization
personal organisation software
software for personal organisation
use of personal organization software
digital to-do list
digital time tracking",skill/competence
fibre optics,"optical fibers
types of optical fiber
types of optical fibre
fiber optics
plastic filament
fiber  optics
typology of optical fibre
plastic threads
typology of optical fiber
glass filament
glass threads
optical fibres",knowledge
calculate aquatic resources growth rate,"calculate aquatic resources growth rate
aquatic resources growth rate forecasting
forecasting aquatic resources growth rate
aquatic resources growth rate calculating
calculating aquatic resources growth rate
forecast aquatic resources growth rate",skill/competence
challenging issues in the textile industry,"issues to be addressed in the textile industry
issues to be challenged in textile manufacturing
the textile industry's challenging issues
issues to be challenged in the textile industry
challenging issues in the textile industry
challenging issues of textile manufacturing
textile manufacturing's challenging issues
issues to be addressed in textile manufacturing",knowledge
follow procedures in the event of an alarm,"follow procedures in the event of an alarm or emergency on board
apply procedures in the event of an alarm or emergency
react appropriately to an alarm
act in accordance with procedures in the event of an alarm
follow procedures in the event of an on board alarm
adhere to procedures in the event of an alarm
act in accordance with procedures in the event of an alarm or emergency
follow procedures in the event of an on board emergency or alarm
adhere to company instructions in emergencies
react appropriately to an alarm or emergency
apply procedures in the event of an alarm
follow procedures in the event of an alarm
follow company instructions in emergency situations
procedures in the event of an alarm or emergency
procedures in the event of an alarm",skill/competence
guide concrete hose,"guiding concrete hose
concrete hose guidance
spread concrete with hose
use concrete hose
use hose to spread concrete
guide concrete hose
use of concrete hose
guidance of concrete hose
concrete hose
hose to spread concrete",skill/competence
provide lawn care,"provide lawn care
providing lawn care
provide care for lawns
take care of lawn
look after lawn
lawn care
care for lawns",skill/competence
tend tumbling machine,"watch over deburring and polishing machinery
monitor tumbling machine
guard deburring and polishing machinery
oversee deburring and polishing machinery
oversee tumbling machine
tend tumbling machine
monitor deburring and polishing machinery
guard tumbling machine
watch over tumbling machine
tumbling machine
deburring and polishing machinery",skill/competence
liaise with distribution channel managers,"liaise with distribution channel manager
liaising with distribution channel managers
cooperate with distribution channel managers
liaise managers for distribution channel
liaise with distribution channel managers
work together with distribution channel managers
collaborate with distribution channel managers",skill/competence
identify ICT security risks,"identify ICT security risks
model ICT threats
identify ICT security risks and threats
ict security risks
ict security risks and threats",skill/competence
supplier management,supplier management,knowledge
work in a logistics team,"perform work activities within a logistics team
undertake work activities as part of a logistics team
work in a logistics team
work as one part of a logistics team
work as part of a logistics team
work within a logistics team
work with a logistics team
act collectively with a logistics team to achieve work goals
collaborate with members of a logistics team to achieve work goals
conduct work activities within a logistics team
work activities within a logistics team",skill/competence
check quality of products in textile production line,"check quality of textile intermediate products
examine quality of goods in textile production line
inspect quality of textile intermediate goods
inspect quality of goods in textile production line
inspect quality of textile intermediate products
check quality of products in textile production line
check quality of textile intermediate goods
check quality of goods in textile production line
examine quality of textile intermediate goods
examine quality of textile intermediate products
inspect quality of products of textile production line
examine quality of products of textile production line",skill/competence
communication principles,"communication theories
communication principles
communication ideals
communication principle
principles of communication",knowledge
perform vascular surgery therapeutic procedures,"perform vascular surgery therapeutic procedures
carry out vascular surgery procedures
perform vascular surgery procedures
conduct vascular surgery therapeutic procedures
carry out vascular surgery therapeutic procedures
perform vascular therapeutic surgery
carry out vascular therapeutic surgery
vascular therapeutic surgery",skill/competence
perform market research,"market research performance
implement market research
complete market research
perform market research
performing market research
undertake market research
market research",skill/competence
determine tunnel boring machine speed,"t.b.m speed determination
calculate tunnel boring machine speed
calculation of t.b.m speed
calculation of speed of tunnel boring machine
tunnel boring machine speed determination
determining t.b.m speed
calculation of tunnel boring machine speed
calculation of speed of t.b.m
t.b.m speed calculation
calculating tunnel boring machine speed
determine tunnel boring machine speed
calculating t.b.m speed
determination of speed of tunnel boring machine
determination of speed of t.b.m
determination of t.b.m speed
tunnel boring machine speed calculation
determining tunnel boring machine speed
determination of tunnel boring machine speed",skill/competence
manage veterinary practice waiting area,"oversee veterinary practice waiting area
control veterinary practice waiting area
manage veterinary practice waiting room
manage veterinary practice waiting area
oversee veterinary practice waiting areas
control veterinary practice waiting areas
manage veterinary practice waiting rooms
veterinary practice waiting area
veterinary practice waiting room
veterinary practice waiting areas
veterinary practice waiting rooms",skill/competence
create a prevention security plan for the store,"creating a prevention security plan for the store
design a prevention security plan for the store
create a prevention security plan for the stores
create a prevention security plan for the store
develop a prevention security plan for the store
create prevention security plans for the store
draw up a prevention security plan for the store
prevention security plan for the store
prevention security plan for the stores
prevention security plans for the store",skill/competence
perform defensive driving,"utilise defensive driving techniques
implement defensive driving techniques
apply defensive driving techniques
perform defensive driving
implement defensive driving
utilise defensive driving methods
drive defensively
perform defensive driving techniques
defensive driving
defensive driving techniques
defensive driving methods",skill/competence
measure materials,"measuring materials
check raw materials
raw materials checking
measure materials
checking raw materials
materials measuring",skill/competence
design sensors,"develop sensors
sensor developing
sensors developing
developing sensors
sensor designing
sensors designing
design sensors
designing sensors",skill/competence
attach power cords to electric module,"power cord attaching to electric module
fitting power cords to electric module
attach power cords to electric module
power cord fitting to electric module
power cords fitting to electric module
attaching power cords to electric module
fit power cords to electric module
power cords attaching to electric module",skill/competence
fasten rubber goods,"fastening rubber goods
assembling rubber goods
fasten rubber goods
assemble rubber goods
rubber goods fastening
rubber goods assembling",skill/competence
set up pile helmets or sleeves,"fitting protective attachments to piles
fit protective attachments to piles
pile helmets or sleeve set up
pile helmets set up
attach protective attachments to piles
setting up pile helmets or sleeves
protect piles
set up pile helmets
setting up pile helmets
setting up pile  sleeves
set up pile sleeves
set up pile helmets or sleeves
pile sleeve set up
attaching protective attachments to piles
attach pile protection",skill/competence
communicate with tenants,"communicate with tenants
communicate with dwellers
communicate with residents
communicate with boarders
communicate with inhabitants
correspond with tenants
communicate with leaseholder
communicate with renters",skill/competence
negotiate land acquisition,"negotiating land acquisition
arrange land acquisition
arrangement of land acquisition
negotiate land acquisition
land acquisition arrangement
arranging of land acquisition
land acquisition negotiation
negotiation of land acquisition
negotiating of land acquisition
arranging land acquisition",skill/competence
construction industry,"construction business
construction manufacturer
construction industries
the construction industry
construction trader
construction company
construction industry",knowledge
inspect sport stadium,"verify state of stadium
assess the sports ground
inspect stadium of sport
inspect sports' stadium
inspect sport stadium
sports ground",skill/competence
pruning types,"techniques for basic pruning
pruning types
basic pruning
types of pruning
basic pruning typology
pruning typology
methods for basic pruning
typology of basic pruning
types of basic pruning
ways of basic pruning
typology of pruning",knowledge
provide feedback on patient's communication style,"give feedback on patient's communication style
rephrase and translate patients' communication
reflect on patients' communication
give feedback on patients' communication styles
provide feedback on patients' communication styles
provide feedback on patient's communication styles
provide feedback on patient's communication style
feedback on patient's communication style
feedback on patients' communication styles
feedback on patient's communication styles",skill/competence
prioritise youths' psychiatric care needs,"manage youths' psychiatric care needs
prioritize youths' psychiatric care needs
prioritise children's psychiatric care needs
prioritise adolescents' psychiatric care needs
look after youths' psychiatric care needs",skill/competence
interpret electrical diagrams,"understanding of equipment manuals
interpretation of electrical diagrams
interpret electrical diagrams
understanding blueprints
electrical diagram interpretation
understanding equipment manuals
interpreting electrical diagrams
understand blueprints
understand equipment manuals
interpreting of electrical diagrams
electrical diagrams interpretation",skill/competence
geostationary satellites,"satellites with geostationary orbits
satellites which orbit in a geostationary manner
satellites with circular geosynchronous orbits above the equator
geosynchronous satellites
satellites with geosynchronous orbits
satellites with geostationary orbits above the equator
geostationary satellites",knowledge
stand high temperatures,"continue high temperatures
hold high temperatures
maintain high temperatures
stand high temperatures
standing high temperatures
stand a high temperatures
keep high temperatures
stand of high temperatures
high temperatures",skill/competence
define prop materials,"decide on type of props
defining prop materials
define materials for props
define prop materials
determine materials for props",skill/competence
advise on humanitarian aid,"furnish humanitarian advice
give human welfare advice
arrange humanitarian advice
contribute humanitarian advice
provide humanitarian advice
arrange human welfare advice
give humanitarian advice
contribute human welfare advice
furnish human welfare advice
humanitarian advice",skill/competence
design electronic systems,"electronic system modelling
electronic systems modelling
electronic system designing
electronic systems model
design electronic systems
electronic systems designing
electronic systems design
designing electronic systems
model electronic systems
modelling electronic systems",skill/competence
urolithiasis in the urinary tract,"urinary tract stone formation
kidney and bladder stones
urolithiasis in the urinary tract
urinary tract stones
urinary tract urolithiasis
urolithiasis in urinary tract
renal calculi",knowledge
set up broadcast equipment,"assemble broadcast equipment
mount broadcast equipment
setting up audio-visual equipment
prepare broadcast equipment
set up broadcast equipment
broadcast equipment",skill/competence
manage on-board water systems,"maintain water cooled-engineering systems
manage on-board water systems
operate and maintain water-cooled engineering systems
oversee water-cooled engineering systems
manage water-cooled engineering systems
operate water-cooled engineering systems
supervise on-board water systems
maintain and operate water-cooled engineering systems
manage water systems on board
oversee on-board water systems
water systems on board",skill/competence
manage cash transportation,"cash transportation management
maintain cash transportation
supervise cash transportation
oversee cash transportation
manage transportation of cash
managing cash transportation
regulate cash transportation
manage cash transportation
cash transportation
transportation of cash",skill/competence
control production,"control production
direct production
controlling production
oversee production
manage production
supervise production",skill/competence
play therapy,"play therapy
counseling using play to communicate
play therapies
play therapy techniques
play-therapy
counselling using play to communicate",knowledge
data models,data models,knowledge
lasers,"gas lasers
types of lasers
fiber lasers
optical oscillator
semiconductor lasers
light amplification by stimulated emission of radiation
lasers
solid-state lasers
typology of lasers
photonic lasers",knowledge
theatre techniques,"theatre technique
theatre approaches
theater  techniques
theatre methods",knowledge
weigh varnish ingredients,"weighing varnish ingredients
varnish ingredients weighing
measuring varnish ingredients
varnish ingredients measuring
weigh varnish ingredients
varnish ingredient measuring
varnish ingredient weighing
measure varnish ingredients",skill/competence
teach translation techniques,"explain translation techniques
teaches translation techniques
teach translation techniques
educate on translation techniques
provide instruction on translation techniques
teaching translation techniques
instruction on translation techniques",skill/competence
types of carpet,"typology of carpets
carpet typology
carpet types
different carpets
sorts of carpet
types of carpet
kinds of carpet
carpet range
type of carpet
range of carpets
difference in carpet specifications",knowledge
alumina ceramic,"alumina ceramic
ceramic alumina
alumina ceramics",knowledge
use internet chat,"use instant messaging
use internet chat
use net chat
chat using the internet
using internet chat
internet chat
instant messaging
net chat",skill/competence
maintain medical devices,"manage medical devices
operate medical devices
maintaining medical devices
maintain a medical device
administer medical devices
maintain medical devices
oversee medical devices
medical devices
medical device",skill/competence
devise special promotions,"devise promotional specials
agree on selling prices and special promotions
devise special promotions
create special advertising campaigns
devise a special promotion
special advertising campaigns",skill/competence
drive waste collection vehicle,"driving refuse lorry
driving waste collection vehicle
driving bin lorry
drive refuse lorry
drive recycling lorry
waste collection vehicle driving
drive waste collection vehicle
drive bin lorry
driving recycling lorry",skill/competence
lay resilient flooring tiles,"resilient flooring tile laying
lay resilient flooring tiles
lay vinyl tiles
laying vinyl tiles
ceramic tile laying
laying ceramic tiles
vinyl tile laying
laying of ceramic tiles
resilient floor tile laying
laying resilient floor tiles
laying of vinyl tiles
laying of resilient flooring tiles
laying of resilient floor tiles
lay ceramic tiles
laying resilient flooring tiles
lay resilient floor tiles",skill/competence
establish gaming policies,"establish gaming policy
lay down gaming policies
establish policies of gaming
establish gaming policies
fix gaming rules
gaming policies
gaming policy
policies of gaming",skill/competence
media and information literacy,,knowledge
evaluate clinical outcomes of dental hygiene interventions,"evaluate clinical outcomes of dental hygiene treatments
conduct analyses of the clinical outcomes of dental hygiene interventions
analyse clinical outcomes of dental hygiene interventions
perform dental hygiene intervention outcome evaluations
make assessments of the outcomes of dental hygiene treatments
carry out evaluations of the clinical outcomes of dental hygiene interventions
make clinical assessments of the outcomes of dental hygiene interventions
carry out assessments of dental hygiene treatments
analyse clinical outcomes of dental hygiene treatments
assess clinical outcomes of dental hygiene treatments
evaluate clinical outcomes of dental hygiene interventions
assess clinical outcomes of dental hygiene interventions
clinical outcomes of dental hygiene interventions
clinical outcomes of dental hygiene treatments
analyses of the clinical outcomes of dental hygiene interventions
dental hygiene intervention outcome evaluations
assessments of the outcomes of dental hygiene treatments
evaluations of the clinical outcomes of dental hygiene interventions
clinical assessments of the outcomes of dental hygiene interventions
assessments of dental hygiene treatments",skill/competence
gem cutting forms,"gem cutting forms
gem cutting formats
a gem cutting form
gem cutting types
gem cutting varieties
gem cutting form",knowledge
cut pig's teeth,"cutting teeth
grinding pig's teeth
pig's teeth cutting
teeth grinding
grinding teeth
teeth cutting
pig's teeth grinding
grind teeth
cutting pig's teeth
cut teeth",skill/competence
provide therapy of the visual system,"provide therapy of the visual system
offer vision therapy
provide therapies of the visual system
provide vision therapy
apply suitable treatment methods to visual system
therapy of the visual system
therapies of the visual system
vision therapy
suitable treatment methods to visual system",skill/competence
administer materials to tea bag machines,"apply materials to tea bag machines
utilise materials to tea bag machines
administer materials to a tea bag machine
administer materials to tea bag machines
organise materials to tea bag machines
administering  materials to tea bag machines
control materials to tea bag machines
materials to tea bag machines
materials to a tea bag machine",skill/competence
advise on bank account,"advise account types
recommend bank product
advise on bank account
advise bank product
recommend bank account",skill/competence
manage dental emergencies,"handle dental emergencies
manage a dental emergency
finding proper treatment for dental emergencies
deal with dental emergencies
manage dental emergencies
adequately respond to dental emergencies
dental emergencies
dental emergency",skill/competence
assume highest level of responsibility in inland water transportation,"take on accountability in inland water transport
accept accountability in inland water transportation
ensure safety of ship, crew and passengers
oversee ship operations
assume responsibility for a vessel
take on the responsibilities of a captain
ensure effective and efficient vessel operations
assume responsibility for a ship
assume senior responsibility on board a vessel
assume ultimate level of responsibility in inland water transportation
take on highest level of responsibility in in inland water transportation
assume senior responsibility on board a ship
assume the highest responsibility on board a ship
ensure safety of vessel, crew and passengers
assume highest level of responsibility in inland water transportation
assume accountability in inland water transportation
ensure effective and efficient ship operations
take on highest level of responsibility in inland water transport
assume the highest responsibility on board
assume highest level of responsibility in inland water transport
assume the highest responsibility on board a vessel
assume top responsibility in inland water transportation
accept accountability in inland water transport
be ultimately accountable in inland water transportation
safety of ship, crew and passengers
safety of vessel, crew and passengers",skill/competence
manage time in food processing operations,"supervise time in food processing operations
manage time in food processing operations
manage time in a food processing operation
oversee time in food processing operations
maintain time in food processing operations
regulate time in food processing operations
manage time in food processing operation
time in a food processing operation
time in food processing operation",skill/competence
student financial aid programmes,"student financial aid program
student finance programmes
student loan programmes
student financial aid programme
student financial aid programs
student grant programmes",knowledge
interpret pedigree charts,"analyse pedigree chart
interpret pedigree charts
interpret pedigree diagram
examine pedigree chart
examine pedigree charts
assay pedigree chart
construct and interpret pedigree charts
assay pedigree charts
interpret pedigree diagrams
analyse pedigree charts",skill/competence
perform software recovery testing,"perform software crash and recovery testing
perform software recovery testing
software recovery testing
software crash and recovery testing",skill/competence
astronomy,"celestial studies
astronomy
the study of celestial bodies",knowledge
use instruments for food measurement,"handle instruments for food measurement
use instruments for food measurement
use an instrument for food measurement
using instruments for food measurement
adopt instruments for food measurement
operate instruments for food measurement
apply instruments for food measurement
use instrument for food measurement
instruments for food measurement
instrument for food measurement",skill/competence
tend ball mill,"operating ball mill
tend ball mill
ball mill operating
ball mill tending
operate ball mill
tending ball mill
ball mill",skill/competence
understand spoken Norwegian,"comprehend spoken Norwegian
interpret spoken Norwegian
understand Norwegian speech
understanding spoken Norwegian
make sense of spoken Norwegian
understand spoken Norwegian
sense of spoken norwegian",skill/competence
cut filament,"severing filament
cutting filament
filament cutting
filament severing
sever filament
cut filament",skill/competence
procure time sheet approval,"acquire time sheet approval
obtain time sheet approval
procure time sheet approval
procure approval of time sheets
get time sheet approval
procure timesheet approval
procuring time sheet approval",skill/competence
communicate with a non-scientific audience,"communicate publicly about scientific findings
engage in public awareness of research
communicate scientific results to the public
support public understanding of science findings
public understanding of science findings",skill/competence
prepare soda-ash,"formulate soda-ash
preparing soda-ash
formulating soda-ash
soda-ash preparing
soda-ash formulating
prepare soda-ash",skill/competence
microchip scanners,"micro-chip scanner
micro-chip scanners
types of microchip scanners
microchip scanner
differences between microchip scanners
microchip scanners
knowledge of microchip scanners
limitations of microchip scanners",knowledge
rope lashing,"rope skills
rope lashing
rope use
rope lashings
ropes lashing
knot tying",knowledge
create social alliances,social alliances,skill/competence
assess your competencies in leading community arts,"assess your competencies in leading dance
assess your competencies in leading community arts
evaluate your competencies in leading music
evaluate your competencies in leading visual arts
evaluate your competencies in leading community arts
assess your competencies in leading visual arts
evaluate your competencies in leading dance
assess your competencies in leading theatre
evaluate your competencies in leading theatre
assess your competencies in leading music
your competencies in leading community arts
your competencies in leading dance
your competencies in leading music
your competencies in leading visual arts
your competencies in leading theatre",skill/competence
write Occitan,"correspond in written Provençal
writing Occitan
correspond in written Languedoc
write Occitan
show competency in written Occitan
correspond in written Occitan",skill/competence
arrange customs inspection,"align customs inspection
arrange a customs inspection
arrange customs inspections
arrange customs inspection
rank customs inspection
regulate customs inspection
classify customs inspection
arranging a customs inspection",skill/competence
